1K,16K,64K,256K,1M
6660064.5,3.6966584E7,4.3315676E7,5.1227476E7,4.7613584E7
7331426.5,3.9883052E7,4.8347968E7,5.185614E7,5.3035052E7
7953804.0,3.9246604E7,5.2101184E7,5.8716568E7,4.9953164E7
8645045.0,2.601681E7,5.3026976E7,4.5985404E7,5.4290156E7
9071989.0,4.2404056E7,4.407276E7,5.388954E7,5.6567312E7
9139907.0,4.1142368E7,4.2743272E7,5.9318944E7,5.1453168E7
3284709.75,3.5401768E7,5.2770684E7,6.3902864E7,3.978002E7
8426701.0,3.6530896E7,4.4147456E7,5.4179536E7,4.9835556E7
6570773.0,3.9854808E7,5.0403088E7,2.820741E7,5.1760848E7
7911711.0,3.9920128E7,5.19918E7,5.8947084E7,5.2130496E7
7064302.5,7130778.0,4.801066E7,5.3232416E7,5.2363044E7
8430658.0,7062461.0,4.1042328E7,4.8453876E7,5.0891112E7
7712556.0,2.4506236E7,4.8772744E7,5.3020972E7,3.8310312E7
8367255.5,3.0679864E7,5.4550652E7,4.3832464E7,4.5290684E7
9026207.0,2.410029E7,4.3131744E7,5.7620028E7,4.1895288E7
7069071.0,2.3777478E7,4.9094212E7,5.1351572E7,5.0241208E7
8271203.0,3.4843188E7,4.7970008E7,5.5087556E7,4.2063432E7
7472624.0,3.3429408E7,5.4312412E7,5.792734E7,4.9942636E7
6872729.0,1.0681252E7,5.3309424E7,5.9438728E7,4.8813508E7
8558625.0,3.257053E7,5.6035168E7,5.4510316E7,5.0111752E7
9071661.0,3.4426088E7,5.2359772E7,5.6943268E7,4.7706776E7
5192097.0,1.8545278E7,5.046792E7,5.491372E7,4.144116E7
9042376.0,3.2866776E7,3.6197552E7,6.071496E7,5.3463288E7
8575520.0,3.343494E7,4.0556916E7,5.2373652E7,5.3402392E7
7159041.5,3.8834036E7,3.9598556E7,2.7419596E7,4.4526488E7
6247349.0,2.97958E7,4.7658056E7,5.2101476E7,4.78837E7
8293620.5,4.088626E7,3.76323E7,5.874028E7,3.8753532E7
9056314.0,3.545106E7,4.5342532E7,6.155886E7,4.7391716E7
8719148.0,3.9894208E7,4.3807548E7,4.911472E7,3.6612632E7
8654591.0,4.324774E7,4.165016E7,4.4723916E7,5.46114E7
3690090.0,2.310442E7,3.9880184E7,5.3928812E7,4.090968E7
5966665.5,4.0735996E7,3.5976784E7,5.1359108E7,5.3616996E7
7179534.0,3.8312644E7,5.5759384E7,5.4678856E7,5.2784288E7
7933158.5,3.8325668E7,3.0850952E7,5.2163928E7,4.3454656E7
7347301.0,3.478006E7,3.0226256E7,5.8419124E7,5.4239844E7
7664744.5,3.0476728E7,1.1913767E7,5.6315916E7,4.6334472E7
7100941.0,2.9110768E7,1.5194321E7,6.1136E7,3.9787492E7
7622288.0,3.8416576E7,1.1750049E7,5.3826652E7,5.2598184E7
7886454.0,1.6180884E7,2.040127E7,5.4304764E7,4.923612E7
7890274.5,3.6275748E7,4.4062696E7,4.791932E7,5.384674E7
8192679.0,3.8987644E7,5.2067128E7,5.7923024E7,4.1625088E7
7584388.0,3.4827988E7,4.6451476E7,6.2529872E7,3.6924408E7
8926300.0,4.007748E7,4.5243272E7,4.7381148E7,3.7015896E7
7921294.0,3.4786452E7,4.1435792E7,5.1225924E7,2.7860038E7
8563301.0,2.5635564E7,4.0533576E7,5.7910948E7,3.7284244E7
7000026.5,4.120208E7,4.4793812E7,5.389884E7,3.9775348E7
1000133.5,4.0012404E7,2.166701E7,5.050588E7,3.8348776E7
6942491.5,3.6732192E7,4.7237464E7,5.67792E7,3.1929898E7
6477498.0,2.1628756E7,4.6947312E7,4.8038392E7,3.8205232E7
6590563.0,2.9434046E7,5.1360536E7,5.353282E7,3.3872224E7
8985428.0,4.0314108E7,4.9553808E7,4.613936E7,3.4674932E7
7413140.5,3.7370596E7,3.5557368E7,2.6748638E7,3.3910448E7
6825761.0,2.9151586E7,4.9526408E7,5.0902736E7,4.1921564E7
9461499.0,3.5423316E7,3.2554918E7,6.0212628E7,4.0085204E7
7918953.5,7446870.0,1.8752014E7,5.1867276E7,4.4662496E7
8878109.0,3.4083196E7,2.3055964E7,5.3874916E7,4.5195332E7
8426452.0,3.747716E7,4.3408308E7,5.5192628E7,3.3142478E7
8186294.0,3.8430672E7,4.6907664E7,5.02726E7,4.715788E7
7696771.5,3.2887644E7,2.2739544E7,5.847168E7,4.5491496E7
6778153.5,3.5641044E7,4.1061616E7,5.2714928E7,4.748894E7
2041669.25,1.0269715E7,4.589986E7,5.6660764E7,4.7073952E7
8399557.0,2.561863E7,2.3974146E7,5.68481E7,4.0422052E7
8096163.0,3.0163416E7,4.223938E7,5.7536364E7,4.4619556E7
6912168.0,3.5676944E7,5.1729956E7,5.1775728E7,5.1101376E7
6357117.0,3.852288E7,5.6714948E7,4.3941144E7,3.5305204E7
7726441.0,3.8611156E7,3.9559232E7,5.6145372E7,4.6752204E7
8026976.5,4.1454008E7,4.7357796E7,5.2755832E7,4.8790188E7
3267893.75,3.0746832E7,4.4651036E7,5.2336868E7,4.0636236E7
6324918.5,3.8394708E7,4.0071504E7,5.38145E7,4.6500708E7
7412536.0,2.294632E7,5.4170404E7,5.1885372E7,4.652208E7
8080710.5,3.776126E7,5.0006588E7,5.7680036E7,5.0060204E7
8475029.0,3.4361028E7,5.0295556E7,2.5592276E7,5.262594E7
7969816.0,3.4762516E7,5.2724188E7,5.3087204E7,4.3698532E7
7778680.5,3.7066484E7,5.235882E7,5.7029548E7,5.0915152E7
7985530.0,3.4346292E7,4.3335328E7,5.7370856E7,3.7866168E7
1.041003E7,3.7210504E7,5.0876352E7,4.2149332E7,4.8505404E7
8362910.0,4.0880116E7,5.15466E7,6.0265876E7,4.515352E7
8301077.0,4.0361356E7,5.1486948E7,5.1988812E7,4.6438148E7
7824640.5,3.3125572E7,4.7409056E7,5.55826E7,3.1506316E7
9395255.0,3.717626E7,4.88053E7,3.4740576E7,4.0373396E7
6009081.0,3.2945408E7,5.957594E7,5.92134E7,3.7897072E7
5909184.0,4.0155664E7,5.2883124E7,4.1651632E7,5.0107472E7
7762499.0,2.8057662E7,4.381374E7,4.6362672E7,4.4359856E7
8487934.0,3.440284E7,1.0874743E7,2.8674714E7,3.2957044E7
7218450.0,3.5641252E7,4.5730104E7,4.6829132E7,4.1671936E7
2954475.0,4.336886E7,4.0516184E7,5.7509648E7,4.5553644E7
7543947.5,3.8334996E7,5.012242E7,4.8866564E7,4.3170448E7
5502908.0,2.3316794E7,4.4539464E7,5.9480332E7,4.1742088E7
4834853.5,3.5818576E7,4.7666216E7,4.2152592E7,3.1024142E7
6725700.0,3.7069404E7,4.0855332E7,4.8912268E7,3.7172664E7
7421408.5,3.8690432E7,4.2452588E7,5.3159648E7,4.2572236E7
8232865.0,3.1188676E7,5.1701132E7,5.2001016E7,3.3421106E7
7683938.0,3.6341484E7,3.8772152E7,5.4907716E7,4.5198984E7
7595269.5,2.9722474E7,4.3780256E7,4.9450916E7,4.9098852E7
6631884.5,3.2931838E7,4.3543712E7,5.1828772E7,4.7191356E7
7670540.5,3.8753904E7,5.075864E7,4.3883708E7,3.504764E7
8269814.0,4.095004E7,4.9234192E7,4.9657672E7,4.596272E7
6160325.0,3.2831348E7,4.3059948E7,6.05231E7,3.4304944E7
7713145.0,3.5993888E7,5.1897336E7,5.4189984E7,4.4434128E7
6551088.0,2.7436838E7,4.2617488E7,5.5060324E7,4.9467448E7
6543042.0,4.1734864E7,4.934378E7,5.6402728E7,5.2640068E7
6982860.0,2.8675202E7,4.727976E7,5.376056E7,5.3553888E7
7553349.0,3.2520958E7,3.5420568E7,5.531662E7,4.188328E7
8382258.0,4.49074E7,5.02898E7,6.0713292E7,5.4638532E7
2961602.75,3.5312744E7,4.9619612E7,6.2169752E7,5.0106504E7
7566013.5,2.8460412E7,5.513186E7,5.1415804E7,5.3531292E7
7400188.0,3.3896504E7,4.3217216E7,4.8558748E7,4.1364248E7
3222356.5,3.6668148E7,5.6003388E7,5.1146716E7,5.6201456E7
8375006.0,3.1752318E7,4.966164E7,5.9256872E7,5.1354916E7
8567343.0,3.79953E7,5.6024796E7,5.7190744E7,5.306832E7
7834878.5,3.9420352E7,5.1992508E7,5.926738E7,5.5657212E7
9214135.0,3.5716024E7,4.7356896E7,5.1888808E7,3.9793268E7
9035652.0,3.6064684E7,5.27228E7,2.5724666E7,5.0151316E7
5483589.5,3.8182112E7,4.9609692E7,5.6054552E7,4.9447936E7
7771142.5,2.8021888E7,4.9391664E7,5.1817624E7,4.2476832E7
7182076.0,3.4282384E7,5.1966492E7,4.9711596E7,5.270444E7
2147243.25,3.5840216E7,5.3386924E7,5.074664E7,5.2623796E7
3330801.75,4.1222792E7,5.358068E7,6.0717328E7,4.7926668E7
7126842.0,3.3698008E7,4.3439536E7,5.8779164E7,3.776482E7
7872267.0,3658815.0,4.9206E7,4.908768E7,4.5544416E7
6146829.0,1.6595693E7,5.4682636E7,5.7928656E7,4.9659908E7
9364664.0,2.3221144E7,4.3028712E7,5.0767616E7,4.5676284E7
9172907.0,3.42038E7,5.4119924E7,4.9152948E7,3.35235E7
2757491.0,3.706054E7,5.331358E7,5.4923508E7,4.3492404E7
7945532.0,3.7064948E7,4.808056E7,4.5579996E7,4.5243992E7
6607118.5,3.1386456E7,4.9368132E7,5.8722424E7,4.2595684E7
7454703.5,2.5840586E7,5.243112E7,4.3317112E7,4.7760208E7
5692598.5,1.3826082E7,4.2519796E7,5.9179988E7,2.8829668E7
8023267.5,1.8542778E7,4.4472696E7,5.2856416E7,4.5275016E7
6653501.5,3.7095392E7,4.9003524E7,3.2007392E7,4.6440948E7
7688274.0,3.1345046E7,4.5148052E7,5.2755084E7,3.873458E7
5957157.0,2.9585514E7,4.785394E7,5.6188552E7,4.5728236E7
7844866.5,4.3409444E7,5.2981772E7,5.4355156E7,3.9095068E7
8059673.5,3.6870516E7,4.50432E7,5.607696E7,4.1415008E7
7649348.0,3.4413812E7,4.4320344E7,4.4689656E7,4.0855736E7
8234356.0,4.0255804E7,3.5324948E7,5.3064924E7,3.7255564E7
7970496.5,3.5644912E7,9619896.0,2.566708E7,3.8882688E7
8079117.5,3.1340218E7,3.9315244E7,5.2592372E7,5.1810056E7
6980461.5,3.677314E7,1.9703548E7,5.6492752E7,5.1025576E7
7276484.5,3.9149084E7,4.4409784E7,5.2733172E7,4.9097896E7
7107532.5,3.6489264E7,5.4423036E7,5.7037712E7,4.944914E7
8374094.0,3.8927736E7,1.324341E7,4.6680928E7,4.7696132E7
7757211.5,2.8367284E7,2.984373E7,5.4062164E7,5.1345952E7
8339699.5,3.3253952E7,4.8007544E7,5.6944812E7,3.1672338E7
7694912.5,2.5435402E7,5.0981056E7,5.7839388E7,3.6877248E7
8239058.0,3.176516E7,5.1233112E7,6.1561332E7,3.1105284E7
2894330.75,4.0508052E7,5.2828616E7,5.0884644E7,4.8193984E7
5893759.5,3.5971272E7,5.0419784E7,4.6895456E7,5.470168E7
8384323.5,2.068364E7,4.3501688E7,4.8776748E7,5.1002104E7
7597721.5,3.9834912E7,4.9991016E7,5.649252E7,4.8489084E7
6751670.0,3.3296804E7,5.395936E7,5.8151244E7,5.0654996E7
8106736.5,3.2711394E7,5.0692524E7,5.7698004E7,5.1975548E7
7812470.0,3.3703544E7,4.1548732E7,4.5619144E7,3.9490672E7
