1K,16K,64K,256K,1M
1.13814848E8,3.69037728E8,8.5453312E8,1.043124224E9,1.119169024E9
1.12186856E8,5.20347232E8,9.14669888E8,1.061177728E9,1.145888E9
1.15849344E8,4.6018928E8,8.18570304E8,1.057160576E9,1.122858112E9
1.15135752E8,3.67287552E8,8.65867648E8,1.047735424E9,1.14923328E9
1.09957768E8,3.67558368E8,8.6482752E8,1.046223936E9,1.140785024E9
1.11155568E8,5.25624192E8,8.65122048E8,1.060683072E9,1.139136768E9
1.15711272E8,4.61031328E8,9.1419168E8,1.0590928E9,1.118369664E9
1.12721776E8,3.63097472E8,8.31398784E8,1.045915264E9,1.145099008E9
1.15430792E8,3.69686624E8,8.6494784E8,1.046061824E9,1.123098624E9
1.12213296E8,3.68033504E8,8.64993408E8,1.059019264E9,1.144275712E9
1.09609456E8,5.07949408E8,8.72249536E8,1.061974016E9,1.123995392E9
1.12262424E8,5.1549216E8,8.99385408E8,1.043690624E9,1.144407424E9
1.13917272E8,4.60425024E8,8.73362432E8,1.047778752E9,1.145753984E9
1.13719064E8,3.66656288E8,8.18017856E8,1.051989184E9,1.123021824E9
1.177884E8,5.2685648E8,8.76131392E8,1.042935104E9,1.145013504E9
1.15125136E8,5.19460256E8,8.57981312E8,1.056317376E9,1.1390848E9
9.6872936E7,4.59171072E8,8.6103328E8,1.042133952E9,1.140296576E9
1.11368496E8,3.6655968E8,8.72506304E8,1.056574592E9,1.143466496E9
1.1443088E8,3.7075056E8,9.11323904E8,1.039557952E9,1.118301056E9
1.12740848E8,5.18892544E8,8.84355264E8,1.064654912E9,1.145550336E9
1.12679864E8,4.5919744E8,9.08422464E8,1.042378368E9,1.143018624E9
1.5705984E8,3.67766208E8,8.23566336E8,1.05875904E9,1.119028736E9
1.43024688E8,4.002992E8,8.54149888E8,1.055368064E9,1.145252096E9
1.4660392E8,5.2375216E8,8.7216864E8,1.046770624E9,1.123635072E9
1.15221968E8,5.21106432E8,8.71201088E8,1.075547136E9,1.144487424E9
1.10564432E8,4.60946336E8,8.6310016E8,1.042761792E9,1.123667712E9
1.1334912E8,3.6729088E8,8.702688E8,1.045320768E9,1.150011648E9
1.13097864E8,3.72051488E8,8.99753408E8,1.077438848E9,1.118663296E9
1.14999368E8,3.6712992E8,8.34172928E8,1.041558144E9,1.14576128E9
1.30696752E8,5.23128832E8,8.63338816E8,1.058129792E9,1.139637888E9
1.10822976E8,4.56282432E8,8.91106688E8,1.055968384E9,1.143981824E9
1.11764312E8,3.64011136E8,8.6746016E8,1.046123008E9,1.139849728E9
1.1638056E8,3.72151008E8,8.71606848E8,1.044731264E9,1.11832896E9
1.15529472E8,4.02146464E8,8.24916608E8,1.046896448E9,1.132880512E9
1.13991288E8,3.63357248E8,8.78552512E8,1.05594272E9,1.143970816E9
1.13524128E8,3.68730688E8,8.6814624E8,1.067542016E9,1.14023744E9
1.11995872E8,3.68346144E8,7.65695872E8,1.037308608E9,1.123705344E9
9.769632E7,3.70222112E8,9.13768832E8,1.06684448E9,1.1451808E9
1.41542816E8,5.05724192E8,8.93688768E8,1.057795712E9,1.123141504E9
1.46520144E8,4.59631392E8,8.34932544E8,1.049346304E9,1.144585728E9
1.13576992E8,3.67332224E8,8.73448256E8,1.035855552E9,1.123552384E9
1.1470652E8,3.7063632E8,8.5417952E8,1.044375296E9,1.144711424E9
